,,,,Oxygen,,,,,,,,,,,,,,,,Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,,,
Log Date Time,MS,Tick,Day,Crew O2 Consumed,Crew Env O2,VPGC Env O2,O2 Store,Total Sim O2,O2 Created by OGS,VPGC Plant O2 Produced,Crew GARDEN O2 Produced,Total O2 Produced,B(X) - Change in Creation of O2/Change in Total O2,B(X) Daily Aerage,"M(X,?) - O2 Consumed or Removed/Total O2","M(X,?)Daily Average","Eigenvalue, ?","Eigenvalue, ? of Daily Average",Filter for Daily value,CO2 Store,Crew CO2 Injected,VPGC CO2 Injected,VPGC CO2 Injected (kg/Day),Total CO2 Injected,Crew CO2 Produced ,Crew CO2 Produced (kg/Day),VCCR CO2 Removed,VPGC CO2 Consumed,GARDEN CO2 Consumed,Plant CO2 Consumed,Plant CO2 Consumed (kg/Day),PhisoChem Removal (kg/Day),Air Revitalization (kg CO2 per Day),Crew Env CO2,VPGC Env CO2,Total Sim CO2,CO2 Concentration (%) ,B(X) - Change in Creation of CO2/Change in Total CO2,B(X) Daily Aerage,"M(X,?) - CO2 Consumed or Removed/Total CO2","CO2 M(X,?)Daily Average","CO2 Eigenvalue, ?","CO2 Eigenvalue, ? of Daily Average",CRS And waste?
10/14/2020 11:31,414,25,,0,2062.2156,361.98282,1650.9275,4075.12592,15.420277,0.10432207,1.30E-06,15.52460037,0.000259012,,0,,-0.000259012,,FALSE,7944.975,0,0,,0,0,,0.01479117,0.097497255,1.21E-06,0.097498463,,,,4.02E-04,19.220905,7964.196307,,0,,1.40993E-05,,1.40993E-05,,
10/14/2020 11:31,414,26,,0,2062.2156,362.09122,1666.3478,4090.65462,15.420277,0.10834304,1.40E-06,15.52862144,0.000258944,,0,,-0.000258944,,FALSE,7942.1978,0,0,,0,0,,3.92E-04,0.10125518,1.30E-06,0.101256479,,,,9.38E-06,19.119648,7961.317457,,0,,1.27677E-05,,1.27677E-05,,
10/14/2020 11:31,414,27,,0,2062.2156,362.20352,1681.7681,4106.18722,15.420277,0.11236402,1.50E-06,15.53264252,0.00025888,,0,,-0.00025888,,FALSE,7919.42,20,0,,20,0,,0,0.105013095,1.39E-06,0.105014487,,,,20.000008,19.014637,7958.434645,,0,,1.31954E-05,,1.31954E-05,,
10/14/2020 11:31,430,28,,0,2062.2156,362.31985,1697.1884,4121.72385,15.420277,0.116385005,1.62E-06,15.53666362,0.000258814,,0,,-0.000258814,,FALSE,7936.0713,0,0,,0,0,,19.428967,0.10877102,1.50E-06,0.108772517,,,,0.5710396,18.905865,7955.548205,,0,,0.002455863,,0.002455863,,
10/14/2020 11:31,430,29,,0,2062.2156,362.44022,1712.6086,4137.26442,15.420277,0.12040597,1.73E-06,15.5406847,0.000258747,,0,,-0.000258747,,FALSE,7933.849,0,0,,0,0,,0.55584383,0.11252894,1.60E-06,0.11253054,,,,0.015194187,18.793339,7952.657533,,0,,8.40442E-05,,8.40442E-05,,
10/14/2020 11:31,430,30,,0,2062.2156,362.5646,1728.0289,4152.8091,15.420277,0.12442692,1.84E-06,15.54470576,0.000258678,,0,,-0.000258678,,FALSE,7931.086,0,0,,0,0,,0.014790705,0.116286844,1.70E-06,0.116288547,,,,4.02E-04,18.677052,7949.763454,,0,,1.64884E-05,,1.64884E-05,,
10/14/2020 11:31,446,31,,0,2062.2156,362.69302,1743.4492,4168.35782,15.420277,0.1284479,1.96E-06,15.54872686,0.000258613,,0,,-0.000258613,,FALSE,7928.3086,0,0,,0,0,,3.91E-04,0.12004476,1.81E-06,0.120046571,,,,8.86E-06,18.557003,7946.865612,,0,,1.51554E-05,,1.51554E-05,,
10/14/2020 11:31,446,32,,0,2062.2156,352.82547,1768.8695,4183.91057,15.420277,0.13246886,2.07E-06,15.55274793,0.000258544,,0,,-0.000258544,,FALSE,7905.531,20,0,,20,0,,0,0.12380266,1.92E-06,0.123804579,,,,20.000008,18.4332,7943.964208,,0,,1.55847E-05,,1.55847E-05,,
10/14/2020 11:31,446,33,,0,2062.2156,372.96194,1764.2898,4199.46734,15.420277,0.13648984,2.21E-06,15.55676905,0.00025848,,0,,-0.00025848,,FALSE,7922.182,0,0,,0,0,,19.428967,0.1275606,2.04E-06,0.127562642,,,,0.5710391,18.305637,7941.058676,,0,,0.002462711,,0.002462711,,
10/14/2020 11:31,446,34,,0,2062.2156,363.10245,1789.7101,4215.02815,15.420277,0.14051081,2.33E-06,15.56079014,0.000258412,,0,,-0.000258412,,FALSE,7919.96,0,0,,0,0,,0.55584335,0.13131851,2.16E-06,0.13132067,,,,0.015193567,18.17432,7938.149514,,0,,8.65648E-05,,8.65648E-05,,
